Starting debug run... 
Time: 13:24:15.61 
Checking Python Version... 
Python 3.13.3
 
Running main.py... 
=== LLM Emotional Talk Pipeline [Prototype] ===

[Init] Initializing modules...
Ollama is already running.

[Input] Prompt: Tell me a short story about a brave cat.
[LLM] Generating text (with emotion analysis)...
[LLM] Raw Response (739 tokens): 'ふふ、そんなに退屈な話を聞きたがるなんて、まるで甘えん坊みたいだわ。  
でも、猫好きなあたしが作った「勇敢な猫」の物語なら、ちょっとだけ甘えさせてもいいかしら。

---

### 1. 町外れの不...'
[Proc] Mapping tokens to emotional data stream...
[TTS] Generating AudioQuery...
WARNING: convert_pos() in njd2jpcommon.c: 記号 サ変接続 * * are not appropriate POS.
[TTS] Adjusted base speed: 1.0 -> 1.2
[Mod] applying emotional dynamics...
[Mod] applying emotional dynamics (Token-wise Log)...
Token           | Conf   | Ent    | Avg P-Delta | Avg S-Delta
語               | 1.00   | 0.00   | +0.0000     | +0.0000    
なら              | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
ち               | 1.00   | 0.00   | +0.0000     | +0.0000    
っと              | 1.00   | 0.00   | +0.0000     | +0.0000    
だけ              | 1.00   | 0.00   | +0.0000     | +0.0000    
甘               | 1.00   | 0.00   | +0.0000     | +0.0000    
え               | 1.00   | 0.00   | +0.0000     | +0.0000    
さ               | 1.00   | 0.00   | +0.0000     | +0.0000    
せ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ても              | 1.00   | 0.00   | +0.0000     | +0.0000    
いい              | 1.00   | 0.00   | +0.0000     | +0.0000    
か               | 1.00   | 0.00   | +0.0000     | +0.0000    
し               | 1.00   | 0.00   | +0.0000     | +0.0000    
ら               | 1.00   | 0.00   | +0.0000     | +0.0000    
。

             | 1.00   | 0.00   | +0.0000     | +0.0000    
---

           | 1.00   | 0.00   | +0.0000     | +0.0000    
###             | 1.00   | 0.00   | +0.0000     | +0.0000    
                | 1.00   | 0.00   | +0.0000     | +0.0000    
1               | 1.00   | 0.00   | +0.0000     | +0.0000    
.               | 1.00   | 0.00   | +0.0000     | +0.0000    
                | 1.00   | 0.00   | +0.0000     | +0.0000    
町               | 1.00   | 0.00   | +0.0000     | +0.0000    
外               | 1.00   | 0.00   | +0.0000     | +0.0000    
れ               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
不               | 1.00   | 0.00   | +0.0000     | +0.0000    
気               | 1.00   | 0.00   | +0.0000     | +0.0000    
味               | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
森               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
夜               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
帳               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
落               | 1.00   | 0.00   | +0.0000     | +0.0000    
ち               | 1.00   | 0.00   | +0.0000     | +0.0000    
た               | 1.00   | 0.00   | +0.0000     | +0.0000    
頃               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
風               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
木               | 1.00   | 0.00   | +0.0000     | +0.0000    
々               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
ざ               | 1.00   | 0.00   | +0.0000     | +0.0000    
わ               | 1.00   | 0.00   | +0.0000     | +0.0000    
め               | 1.00   | 0.00   | +0.0000     | +0.0000    
か               | 1.00   | 0.00   | +0.0000     | +0.0000    
せ               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
森               | 1.00   | 0.00   | +0.0000     | +0.0000    
で               | 1.00   | 0.00   | +0.0000     | +0.0000    
、一              | 1.00   | 0.00   | +0.0000     | +0.0000    
匹               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
小               | 1.00   | 0.00   | +0.0000     | +0.0000    
さ               | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
眠               | 1.00   | 0.00   | +0.0000     | +0.0000    
り               | 1.00   | 0.00   | +0.0000     | +0.0000    
につ              | 1.00   | 0.00   | +0.0000     | +0.0000    
き               | 1.00   | 0.00   | +0.0000     | +0.0000    
そう              | 1.00   | 0.00   | +0.0000     | +0.0000    
だった             | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
その              | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
名前              | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
「               | 1.00   | 0.00   | +0.0000     | +0.0000    
シ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ロ               | 1.00   | 0.00   | +0.0000     | +0.0000    
」。              | 1.00   | 0.00   | +0.0000     | +0.0000    
白               | 1.00   | 0.00   | +0.0000     | +0.0000    
い               | 1.00   | 0.00   | +0.0000     | +0.0000    
毛               | 1.00   | 0.00   | +0.0000     | +0.0000    
並               | 1.00   | 0.00   | +0.0000     | +0.0000    
み               | 1.00   | 0.00   | +0.0000     | +0.0000    
と               | 1.00   | 0.00   | +0.0000     | +0.0000    
黒               | 1.00   | 0.00   | +0.0000     | +0.0000    
い               | 1.00   | 0.00   | +0.0000     | +0.0000    
瞳               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
暗               | 1.00   | 0.00   | +0.0000     | +0.0000    
闇               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
中               | 1.00   | 0.00   | +0.0000     | +0.0000    
で               | 1.00   | 0.00   | +0.0000     | +0.0000    
光               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
。

             | 1.00   | 0.00   | +0.0000     | +0.0000    
###             | 1.00   | 0.00   | +0.0000     | +0.0000    
                | 1.00   | 0.00   | +0.0000     | +0.0000    
2               | 1.00   | 0.00   | +0.0000     | +0.0000    
.               | 1.00   | 0.00   | +0.0000     | +0.0000    
 火              | 1.00   | 0.00   | +0.0000     | +0.0000    
事               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
起               | 1.00   | 0.00   | +0.0000     | +0.0000    
き               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
突然              | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
遠               | 1.00   | 0.00   | +0.0000     | +0.0000    
く               | 1.00   | 0.00   | +0.0000     | +0.0000    
から              | 1.00   | 0.00   | +0.0000     | +0.0000    
煙               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
立               | 1.00   | 0.00   | +0.0000     | +0.0000    
ち               | 1.00   | 0.00   | +0.0000     | +0.0000    
上               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
森               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
奥               | 1.00   | 0.00   | +0.0000     | +0.0000    
で               | 1.00   | 0.00   | +0.0000     | +0.0000    
小               | 1.00   | 0.00   | +0.0000     | +0.0000    
さ               | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
家               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
炎               | 1.00   | 0.00   | +0.0000     | +0.0000    
に               | 1.00   | 0.00   | +0.0000     | +0.0000    
包               | 1.00   | 0.00   | +0.0000     | +0.0000    
ま               | 1.00   | 0.00   | +0.0000     | +0.0000    
れ               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
子               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
た               | 1.00   | 0.00   | +0.0000     | +0.0000    
ち               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
叫               | 1.00   | 0.00   | +0.0000     | +0.0000    
ん               | 1.00   | 0.00   | +0.0000     | +0.0000    
で               | 1.00   | 0.00   | +0.0000     | +0.0000    
いた              | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
シ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ロ               | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
恐               | 1.00   | 0.00   | +0.0000     | +0.0000    
れ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ず               | 1.00   | 0.00   | +0.0000     | +0.0000    
に               | 1.00   | 0.00   | +0.0000     | +0.0000    
足               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
踏               | 1.00   | 0.00   | +0.0000     | +0.0000    
み               | 1.00   | 0.00   | +0.0000     | +0.0000    
出               | 1.00   | 0.00   | +0.0000     | +0.0000    
した              | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
火               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
熱               | 1.00   | 0.00   | +0.0000     | +0.0000    
と               | 1.00   | 0.00   | +0.0000     | +0.0000    
炎               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
恐               | 1.00   | 0.00   | +0.0000     | +0.0000    
怖               | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
勇               | 1.00   | 0.00   | +0.0000     | +0.0000    
気               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
揺               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
す               | 1.00   | 0.00   | +0.0000     | +0.0000    
ほど              | 1.00   | 0.00   | +0.0000     | +0.0000    
だった             | 1.00   | 0.00   | +0.0000     | +0.0000    
。

             | 1.00   | 0.00   | +0.0000     | +0.0000    
###             | 1.00   | 0.00   | +0.0000     | +0.0000    
                | 1.00   | 0.00   | +0.0000     | +0.0000    
3               | 1.00   | 0.00   | +0.0000     | +0.0000    
.               | 1.00   | 0.00   | +0.0000     | +0.0000    
 勇              | 1.00   | 0.00   | +0.0000     | +0.0000    
敢               | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
行               | 1.00   | 0.00   | +0.0000     | +0.0000    
動               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
シ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ロ               | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
煙               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
か               | 1.00   | 0.00   | +0.0000     | +0.0000    
い               | 1.00   | 0.00   | +0.0000     | +0.0000    
く               | 1.00   | 0.00   | +0.0000     | +0.0000    
ぐ               | 1.00   | 0.00   | +0.0000     | +0.0000    
り               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
子               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
た               | 1.00   | 0.00   | +0.0000     | +0.0000    
ち               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
集               | 1.00   | 0.00   | +0.0000     | +0.0000    
ま               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
小               | 1.00   | 0.00   | +0.0000     | +0.0000    
さ               | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
巣               | 1.00   | 0.00   | +0.0000     | +0.0000    
穴               | 1.00   | 0.00   | +0.0000     | +0.0000    
に               | 1.00   | 0.00   | +0.0000     | +0.0000    
向               | 1.00   | 0.00   | +0.0000     | +0.0000    
かった             | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
子               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
た               | 1.00   | 0.00   | +0.0000     | +0.0000    
ちは              | 1.00   | 0.00   | +0.0000     | +0.0000    
不               | 1.00   | 0.00   | +0.0000     | +0.0000    
安               | 1.00   | 0.00   | +0.0000     | +0.0000    
げ               | 1.00   | 0.00   | +0.0000     | +0.0000    
に               | 1.00   | 0.00   | +0.0000     | +0.0000    
見               | 1.00   | 0.00   | +0.0000     | +0.0000    
て               | 1.00   | 0.00   | +0.0000     | +0.0000    
いた              | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
シ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ロ               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
背               | 1.00   | 0.00   | +0.0000     | +0.0000    
中               | 1.00   | 0.00   | +0.0000     | +0.0000    
に               | 1.00   | 0.00   | +0.0000     | +0.0000    
背               | 1.00   | 0.00   | +0.0000     | +0.0000    
負               | 1.00   | 0.00   | +0.0000     | +0.0000    
われ              | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
と               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
彼               | 1.00   | 0.00   | +0.0000     | +0.0000    
ら               | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
安全              | 1.00   | 0.00   | +0.0000     | +0.0000    
に               | 1.00   | 0.00   | +0.0000     | +0.0000    
逃               | 1.00   | 0.00   | +0.0000     | +0.0000    
げ               | 1.00   | 0.00   | +0.0000     | +0.0000    
出               | 1.00   | 0.00   | +0.0000     | +0.0000    
した              | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
炎               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
越               | 1.00   | 0.00   | +0.0000     | +0.0000    
え               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
シ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ロ               | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
森               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
外               | 1.00   | 0.00   | +0.0000     | +0.0000    
へ               | 1.00   | 0.00   | +0.0000     | +0.0000    
と               | 1.00   | 0.00   | +0.0000     | +0.0000    
導               | 1.00   | 0.00   | +0.0000     | +0.0000    
いた              | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
炎               | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
もう              | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
彼               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
止               | 1.00   | 0.00   | +0.0000     | +0.0000    
め               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
こと              | 1.00   | 0.00   | +0.0000     | +0.0000    
は               | 1.00   | 0.00   | +0.0000     | +0.0000    
でき              | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
かった             | 1.00   | 0.00   | +0.0000     | +0.0000    
。

             | 1.00   | 0.00   | +0.0000     | +0.0000    
###             | 1.00   | 0.00   | +0.0000     | +0.0000    
                | 1.00   | 0.00   | +0.0000     | +0.0000    
4               | 1.00   | 0.00   | +0.0000     | +0.0000    
.               | 1.00   | 0.00   | +0.0000     | +0.0000    
 勇              | 1.00   | 0.00   | +0.0000     | +0.0000    
気               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
報               | 1.00   | 0.00   | +0.0000     | +0.0000    
酬               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
森               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
外               | 1.00   | 0.00   | +0.0000     | +0.0000    
で               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
子               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
た               | 1.00   | 0.00   | +0.0000     | +0.0000    
ちは              | 1.00   | 0.00   | +0.0000     | +0.0000    
感               | 1.00   | 0.00   | +0.0000     | +0.0000    
謝               | 1.00   | 0.00   | +0.0000     | +0.0000    
の               | 1.00   | 0.00   | +0.0000     | +0.0000    
涙               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
流               | 1.00   | 0.00   | +0.0000     | +0.0000    
し               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
シ               | 1.00   | 0.00   | +0.0000     | +0.0000    
ロ               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
“               | 1.00   | 0.00   | +0.0000     | +0.0000    
英雄              | 1.00   | 0.00   | +0.0000     | +0.0000    
”               | 1.00   | 0.00   | +0.0000     | +0.0000    
と               | 1.00   | 0.00   | +0.0000     | +0.0000    
呼               | 1.00   | 0.00   | +0.0000     | +0.0000    
ん               | 1.00   | 0.00   | +0.0000     | +0.0000    
だ               | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
[Mod] Modulation complete.
[TTS] Synthesizing...

[Done] Saved to output_emotional.wav
 
Done. 
